,Food,Serving,Calories
0,Artichoke,1 artichoke (128 g),60
1,Arugula,1 leaf (2 g),1
2,Asparagus,1 spear (12 g),2
3,Aubergine,1 aubergine (458 g),115
4,Beetroot,1 beet (82 g),35
5,Bell Pepper,1 pepper (73 g),15
6,Black Olives,1 olive (2.7 g),2
7,Broccoli,1 bunch (608 g),207
8,Brussels Sprouts,1 sprout (19 g),8
9,Cabbage,1 head (908 g),227
10,Capsicum,1 pepper (45 g),12
11,Carrot,1 carrot (61 g),25
12,Cauliflower,1 floweret (13 g),3
13,Celery,1 stalk (40 g),6
14,Chard,1 leaf (48 g),9
15,Cherry Tomato,1 cherry tomato (20 g),20
16,Chicory,1 head (53 g),38
17,Chinese Cabbage,1 head (840 g),134
18,Chives,"1 tbsp, chopped (3 g)",1
19,Collard Greens,"1 cup, raw (36 g)",12
20,Corn,1 cup (154 g),562
21,Courgette,1 courgette (196 g),33
22,Creamed Spinach,1 cup (200 g),148
23,Cucumber,1 cucumber (410 g),66
24,Eggplant,1 eggplant (458 g),115
25,Endive,1 head (513 g),87
26,Fennel,1 bulb (234 g),73
27,Garlic,1 clove (3 g),4
28,Gherkin,1 gherkin (65 g),9
29,Gourd,1 gourd (771 g),108
30,Green Beans,1 cup (110 g),34
31,Green Olives,1 olive (2.7 g),2
32,Green Onion,1 green onion (15 g),5
33,Horseradish,1 tbsp (15 g),7
34,Kale,"1 cup, chopped (67 g)",33
35,Kohlrabi,1 kohlrabi (400 g),108
36,Kumara,1 kumara (130 g),112
37,Leek,1 leek (89 g),54
38,Lettuce,1 head (600 g),90
39,Mushrooms,1 mushroom (5.4 g),1
40,Mustard Greens,"1 cup, chopped (56 g)",15
41,Nori,1 sheet (2.6 g),1
42,Okra,1 pod (12 g),4
43,Olives,1 olive (2.7 g),2
44,Onion,1 onion (85 g),34
45,Parsnips,1 parsnip (170 g),128
46,Peas,1 cup (98 g),79
47,Pepper,1 pepper (75 g),20
48,Potato,1 potato (213 g),164
49,Pumpkin,1 pumpkin (196 g),51
50,Radishes,1 radish (4.5 g),1
51,Red Cabbage,1 leaf (22 g),7
52,Rutabaga,1 rutabaga (386 g),147
53,Shallots,1 shallot (25 g),18
54,Spinach,1 bunch (340 g),78
55,Squash,1 squash (196 g),88
56,Sweet Potato,1 potato (130 g),112
57,Tomato,1 tomato (111 g),20
58,Turnip Greens,1 turnip green (170 g),34
59,Turnips,1 turnip (122 g),34
60,Wasabi,1 root (169 g),184
61,Winter Squash,1 squash (431 g),147
62,Zucchini,1 zucchini (196 g),33
63,Acai,1 oz. (28.35 g),20
64,Apple,1 apple (182 g),95
65,Applesauce,1 cup (246 g),167
66,Apricot,1 apricot (35 g),17
67,Avocado,1 avocado (200 g),320
68,Banana,1 banana (125 g),111
69,Blackberries,1 cup (144 g),62
70,Blood Oranges,1 serving (140 g),70
71,Blueberries,1 cup (148 g),84
72,Cantaloupe,1 wedge (69 g),23
73,Cherries,1 cherry (8 g),4
74,Clementine,1 clementine (74 g),35
75,Cranberries,1 cup (100 g),46
76,Currants,1 cup (112 g),63
77,Custard Apple,1 custard apple (135 g),136
78,Dates,1 date (7.1 g),20
79,Figs,1 fig (50 g),37
80,Fruit salad,1 cup (249 g),125
81,Grapes,1 cup (151 g),104
82,Greengage,1 fruit (5 g),2
83,Guava,1 guava (55 g),37
84,Jackfruit,1 cup (151 g),143
85,Jujube,1 oz. (28.35 g),22
86,Kiwi,1 liwi (183 g),112
87,Lemon,1 lemon (58 g),17
88,Lime,1 lime (67 g),20
89,Lychees,1 lychee (10 g),7
90,Mandarin Oranges,1 mandarin orange (88 g),47
91,Mango,1 mango (336 g),202
92,Minneola,1 minneola (109 g),70
93,Mulberries,1 cup (140 g),60
94,Nectarine,1 nectarine (150 g),66
95,Olives,1 olive (2.7 g),2
96,Orange,1 orange (131 g),62
97,Papaya,1 fruit (500 g),215
98,Passion Fruit,1 passoin fruit (18 g),17
99,Peach,1 peach (150 g),59
100,Pear,1 pear (178 g),101
101,Persimmon,1 fruit (25 g),32
102,Physalis,1 berry (5 g),2
103,Pineapple,1 pineapple (905 g),453
104,Plantains,1 plantain (179 g),218
105,Plum,1 plum (66 g),30
106,Pomegranate,1 pomegranate (282 g),234
107,Quince,1 quince (92 g),52
108,Raisins,1 cup (145 g),434
109,Rambutan,1 rambutan (9 g),7
110,Raspberries,1 cup (123 g),64
111,Rhubarb,1 stalk (51 g),11
112,Starfruit,1 star fruit (91 g),28
113,Strawberries,1 cup (152 g),49
114,Tamarind,1 tamarind (2 g),5
115,Tangerine,1 tangerine (88 g),47
116,Watermelon,1 wedge (286 g),86
117,Baby Back Ribs,1 serving (139 g),360
118,Bacon and Eggs,1 serving (214 g),539
119,Baked Beans,1 cup (260 g),244
120,BBQ Ribs,1 rib (141 g),360
121,Beef Stew,1 cup (196 g),186
