,Food,Measure,Grams,Calories,Protein,Sat.Fat,Fiber,Carbs,Category
0,Cows' milk,1 qt.,976,660.0,976,36.0,0.0,48.0,Dairy products
2,Buttermilk,1 cup,246,127.0,246,4.0,0.0,13.0,Dairy products
3,"Evaporated, undiluted",1 cup,252,345.0,252,18.0,0.0,24.0,Dairy products
4,Fortified milk,6 cups,1419,1373.0,1419,23.0,14.0,119.0,Dairy products
5,Powdered milk,1 cup,103,515.0,103,24.0,0.0,39.0,Dairy products
8,Goats' milk,1 cup,244,165.0,244,8.0,0.0,11.0,Dairy products
9,(1/2 cup ice cream),2 cups,540,690.0,540,22.0,0.0,70.0,Dairy products
10,Cocoa,1 cup,252,235.0,252,10.0,0.0,26.0,Dairy products
11,skim. milk,1 cup,250,128.0,250,3.0,1.0,13.0,Dairy products
12,(cornstarch),1 cup,248,275.0,248,9.0,0.0,40.0,Dairy products
13,Custard,1 cup,248,285.0,248,11.0,0.0,28.0,Dairy products
14,Ice cream,1 cup,188,300.0,188,16.0,0.0,29.0,Dairy products
15,Ice milk,1 cup,190,275.0,190,9.0,0.0,32.0,Dairy products
16,Cream or half-and-half,1/2 cup,120,170.0,120,13.0,0.0,5.0,Dairy products
17,or whipping,1/2 cup,119,430.0,119,27.0,1.0,3.0,Dairy products
18,Cheese,1 cup,225,240.0,225,10.0,0.0,6.0,Dairy products
21,"Cheddar, grated cup",1/2 cup,56,226.0,56,17.0,0.0,1.0,Dairy products
22,Cream cheese,1 oz.,28,105.0,28,10.0,0.0,1.0,Dairy products
27,Eggs Scrambled or fried,2,128,220.0,128,14.0,0.0,1.0,Dairy products
30,Butter,1/2 cup,112,113.0,112,116.0,117.0,118.0,"Fats, Oils, Shortenings"
31,Butter,1/4 lb.,112,113.0,112,116.0,117.0,118.0,"Fats, Oils, Shortenings"
32,Hydrogenated cooking fat,1/2 cup,100,665.0,100,88.0,0.0,0.0,"Fats, Oils, Shortenings"
33,Lard,1/2 cup,110,992.0,110,92.0,0.0,0.0,"Fats, Oils, Shortenings"
37,Corn oil,1 T.,14,125.0,14,5.0,0.0,0.0,"Fats, Oils, Shortenings"
38,Olive oil,1T.,14,125.0,14,3.0,0.0,0.0,"Fats, Oils, Shortenings"
39,Safflower seed oil,1 T.,14,125.0,14,3.0,0.0,0.0,"Fats, Oils, Shortenings"
40,French dressing,1 T.,15,60.0,15,2.0,0.0,2.0,"Fats, Oils, Shortenings"
41,Thousand Island sauce,1 T.,15,75.0,15,3.0,0.0,1.0,"Fats, Oils, Shortenings"
43,Bacon,2 slices,16,95.0,16,7.0,0.0,1.0,"Meat, Poultry"
44,Beef,3 oz.,85,245.0,85,15.0,0.0,0.0,"Meat, Poultry"
